Time,F-5
0.17478,0
1.54552,-0.424171404
2.94863,0.081837757
4.33013,-0.225736144
5.68798,-0.112191804
7.06922,-0.091271384
8.43132,0.196387041
9.80031,0.267592947
11.18206,-0.342319064
12.59992,-0.378060524
13.9549,-0.349429054
15.34202,-0.046829516
16.75575,0.014214453
18.16836,-0.144919214
19.53835,-0.261292834
20.91359,-0.581558994
22.28995,-0.417971784
23.6591,-0.042496144
25.0608,-0.532710874
26.44979,-0.281057434
27.85941,-0.119996484
29.22813,-0.369138074
30.59937,-0.207630024
32.04576,-0.197529854
33.44222,-0.298251004
34.80509,-0.06072964
36.18157,-0.440360044
37.55406,-0.249362844
38.97205,-0.229087944
40.33353,-0.221979384
41.76102,-0.463838944
43.13338,-0.477217084
44.56087,-0.204015304
45.95973,-0.144649664
47.34309,-0.385345554
48.76921,-0.342581114
50.16356,-0.122074114
51.54568,-0.395355684
52.96554,-0.548023884
54.35328,-0.598899154
55.76052,-0.112911684
57.17237,-0.032644833
58.54752,-0.290917124
59.93585,-0.535142874
61.35084,-0.312103734
62.7702,-0.144209924
64.13457,-0.396044614
65.55704,-0.406160044
66.96929,-0.550084294
68.38777,-0.577817974
69.75538,-0.167139374
71.18649,-0.726378894
72.59886,-0.317258464
74.01635,-0.280151204
75.3897,-0.310834844
76.79706,-0.318332004
78.1838,-0.195252894
79.59904,-0.182931814
81.02003,-0.250623784
82.42826,-0.140882844
83.85187,-0.532147404
85.22411,-0.516707534
86.65098,-0.353650064
88.0536,-0.517994124
89.45757,-0.217985474
90.87081,-0.128372924
92.28192,-0.208904594
93.71516,-0.714804314
95.11627,-0.314497604
96.50025,-0.539332664
97.92049,-0.768781054
99.33186,-0.480569824
100.74347,-0.647368034
102.1722,-0.502591464
103.58707,-0.070690209
104.96094,-0.461107004
106.38179,-0.368910404
107.75628,-0.482583964
109.17026,-0.463040354
110.54212,-0.515894704
111.96324,-0.303776824
113.37935,-0.612085114
114.79758,-0.257886124
116.2262,-0.543010094
117.64131,-0.587481134
119.0543,-0.705371874
120.42604,-0.682627954
121.85627,-0.477389094
123.27551,-0.581151834
124.68687,-0.538530974
126.10923,-0.365575224
127.52772,-0.627179994
128.95996,-0.164976984
130.36632,-0.534246214
131.78681,-0.741369624
133.20979,-0.355230214
134.61815,-0.790449304
136.00664,-0.593890474
137.4195,-0.607408924
138.84199,-0.477722524
140.26487,-0.424696924
141.67909,-0.761482124
143.11019,-0.376557084
144.52719,-0.663957904
145.9343,-0.460622164
147.35703,-0.626213844
148.78052,-0.328191034
150.21588,-0.483688204
151.61063,-0.646848224
153.04498,-0.512643844
154.41947,-0.511987074
155.84645,-0.619875314
157.27107,-0.653348134
158.67043,-0.760456184
160.09342,-0.731357004
161.50402,-0.210591574
162.93551,-0.774180504
164.35512,-0.421161244
165.77276,-0.464033634
167.20048,-0.820608954
168.65234,-0.707147734
170.0967,-0.463284594
171.50906,-0.722738664
172.89956,-0.749222844
174.30741,-0.497024544
175.67978,-0.574163044
177.04614,-0.761914174
178.41125,-0.331454464
179.77724,-0.493375854
181.16177,-0.772497374
182.53421,-0.839963634
183.89382,-0.760942584
185.27156,-0.384814924
186.64092,-0.815799784
188.01919,-0.819568974
189.41715,-0.791379494
190.80339,-0.795395094
192.165,-0.746749244
193.52541,-0.643931414
194.90173,-0.248151974
196.27059,-0.748460484
197.64382,-0.759001594
199.00293,-0.722847654
200.38044,-0.768631554
201.79479,-0.468527294
203.17765,-0.674703464
204.57963,-0.875878324
205.96049,-0.715454094
207.38023,-0.691285394
208.79122,-0.863863944
210.16221,-0.649115604
211.53882,-0.515531074
212.9542,-0.492757524
214.33054,-0.712410764
215.69665,-0.721343584
217.06552,-0.646720524
218.43814,-0.795781314
219.81411,-1.073365774
221.2226,-0.711475534
222.59846,-0.830706254
224.02322,-0.873434554
225.42482,-0.841902944
226.80468,-0.868918304
228.17617,-1.026622514
229.58731,-1.037150684
230.96664,-1.058157184
232.38587,-0.797055954
233.75311,-1.128113674
235.18024,-0.850945964
236.58123,-0.819319794
237.9682,-0.869831374
239.37069,-1.089851754
240.74442,-1.069355244
242.11703,-0.917047034
243.54504,-0.781071234
244.96938,-0.929572274
246.39476,-1.086407064
247.80173,-0.876729234
249.22097,-0.813739374
250.60682,-1.226926304
252.02332,-0.783903394
253.43243,-1.071521534
254.80166,-1.099065084
256.23015,-1.173401214
257.64128,-0.943234204
259.06775,-0.890946744
260.47923,-1.057324084
261.91849,-1.231237554
263.32033,-0.810403144
264.69345,-0.873989604
266.11768,-0.895011884
267.51567,-0.961463654
268.90166,-0.842073054
270.32502,-0.851299684
271.75113,-0.807296294
273.15364,-0.954395604
274.57874,-0.695861334
276.01409,-1.201781964
277.44083,-0.940171654
278.85644,-0.742162124
280.25819,-0.873209744
281.63804,-1.034759674
283.04766,-1.077017164
284.46438,-0.986217054
285.84488,-0.875582454
287.26237,-1.212338244
288.6946,-0.678397004
290.09898,-0.937226544
291.5272,-1.146256554
292.9482,-0.985897274
294.3533,-0.994197264
295.72841,-1.044402004
297.15329,-1.027095214
298.58001,-0.957175384
299.98374,-1.025922674
301.41685,-1.215728324
302.84284,-1.224126024
304.2602,-0.845558844
305.66795,-1.208541934
307.04093,-0.683083114
308.42354,-1.093632024
309.84089,-1.287604054
311.25539,-0.991953964
312.62425,-1.334162814
314.03324,-1.046157074
315.4111,-1.005436074
316.83409,-1.145861814
318.25245,-0.794816034
319.68321,-0.927910514
321.09119,-1.028435764
322.50285,-0.807238824
323.88253,-0.648755324
325.28788,-1.132183254
326.67412,-1.024591684
328.08901,-1.079265714
329.52219,-1.061329124
330.93358,-1.036302104
332.34308,-1.016871524
333.7788,-1.164783244
335.19234,-1.307404074
336.6049,-1.070596974
338.02689,-1.022172284
339.45725,-1.103896924
340.88911,-1.148564304
342.28285,-1.046218154
343.65709,-0.980941374
345.08533,-1.062323634
346.51306,-1.126148164
347.91682,-1.066526904
349.34391,-1.022396504
350.76827,-1.150951974
352.1695,-0.928723014
353.55399,-1.012431524
354.97174,-1.204380544
356.40522,-1.009527934
357.81821,-0.940813754
359.22806,-0.935659844
360.65232,-1.266453724
362.08104,-1.084311574
363.4844,-1.157091134
364.90864,-1.205193664
366.35463,-0.896105094
367.76649,-1.025716814
369.16885,-0.852352664
370.60321,-1.252017684
372.01345,-1.390337274
373.45306,-1.185332654
374.8523,-1.274047804
376.27203,-1.343762854
377.70551,-1.391746854
379.15463,-1.335076184
380.58513,-1.092253964
382.01711,-1.259279664
383.43784,-1.452115704
384.85458,-1.244192654
386.26181,-1.091919874
